,skill,coeff_linear_regression
277,OpSysProfessional use_MacOS,11510.128997211674
80,PlatformHaveWorkedWith_Amazon Web Services (AWS),11435.151766688845
37,LanguageHaveWorkedWith_Rust,9970.961438020948
237,NEWCollabToolsHaveWorkedWith_DataGrip,8841.024301738733
214,ToolsTechHaveWorkedWith_Make,8510.732122467904
7,LanguageHaveWorkedWith_Clojure,8249.78346727911
24,LanguageHaveWorkedWith_Lisp,8143.449099749639
201,ToolsTechHaveWorkedWith_Ant,8102.857769351405
280,OpSysProfessional use_Red Hat,6819.473050014079
307,OfficeStackAsyncHaveWorkedWith_Smartsheet,6182.8280941206285
40,LanguageHaveWorkedWith_Solidity,6135.196662885323
23,LanguageHaveWorkedWith_Kotlin,6021.082408536872
249,NEWCollabToolsHaveWorkedWith_Neovim,6016.170734938123
258,NEWCollabToolsHaveWorkedWith_RubyMine,5559.337123312583
296,OfficeStackAsyncHaveWorkedWith_Linear,5544.511068558204
36,LanguageHaveWorkedWith_Ruby,5289.318053292005
161,MiscTechHaveWorkedWith_.NET (5+) ,5090.698451526073
281,OpSysProfessional use_Solaris,5017.4153653248295
26,LanguageHaveWorkedWith_MATLAB,4946.313094820617
263,NEWCollabToolsHaveWorkedWith_Vim,4837.250753841243
192,MiscTechHaveWorkedWith_SwiftUI,4752.126340509763
182,MiscTechHaveWorkedWith_OpenGL,4532.695484873826
310,OfficeStackAsyncHaveWorkedWith_Wikis,4134.5751046218875
165,MiscTechHaveWorkedWith_Apache Spark,4088.1575769117208
13,LanguageHaveWorkedWith_F#,3996.608707921707
211,ToolsTechHaveWorkedWith_Homebrew,3930.2559048133585
92,PlatformHaveWorkedWith_Managed Hosting,3655.406399382819
11,LanguageHaveWorkedWith_Elixir,3575.4742035503086
147,EmbeddedHaveWorkedWith_GNU GCC,3574.222560892711
209,ToolsTechHaveWorkedWith_Google Test,3554.4132963508714
271,OpSysProfessional use_BSD,3437.432525413455
163,MiscTechHaveWorkedWith_.NET MAUI,3437.432525413455
234,NEWCollabToolsHaveWorkedWith_BBEdit,3358.4743327298434
286,OpSysProfessional use_iPadOS,3340.693834898996
279,OpSysProfessional use_Other Linux-based,3235.6684444743532
217,ToolsTechHaveWorkedWith_Nix,3204.7114585993168
72,DatabaseHaveWorkedWith_Presto,3121.980113243589
242,NEWCollabToolsHaveWorkedWith_Goland,3064.498336290081
212,ToolsTechHaveWorkedWith_Kubernetes,3007.1632463035785
243,NEWCollabToolsHaveWorkedWith_Helix,2996.6234944125576
287,OfficeStackAsyncHaveWorkedWith_Airtable,2983.5554398185423
6,LanguageHaveWorkedWith_C++,2967.9992578414244
244,NEWCollabToolsHaveWorkedWith_IPython,2962.0208634145074
75,DatabaseHaveWorkedWith_Snowflake,2945.482132277985
245,NEWCollabToolsHaveWorkedWith_IntelliJ IDEA,2889.4116620829163
180,MiscTechHaveWorkedWith_NumPy,2778.1849446073857
65,DatabaseHaveWorkedWith_Microsoft Access,2682.1974667100158
